"stimulus","rt","response","phase","word","carrier","block","wordAccent","wordAccentStep","carrierAccent","carrierAccentStep","option_0","option_1","sound","trial_index","time_elapsed","participantID","answer"
"<h1>どちらの単語が聞こえましたか</h1>","774","1","iden_exp","hana","deta","1","A","5","A","7","hanaA","hanaU","hanaA05-detaA07","238","32","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","737","1","iden_exp","hana","deta","1","A","6","U","11","hanaA","hanaA","hanaA06-detaU11","240","32","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","655","0","iden_exp","hana","deta","1","A","7","U","6","hanaA","hanaA","hanaA07-detaU06","242","32","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","656","1","iden_exp","hana","deta","1","A","1","U","3","hanaA","hanaA","hanaA01-detaU03","244","33","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","678","1","iden_exp","hana","deta","1","U","3","A","3","hanaU","hanaU","hanaU03-detaA03","246","33","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","668","0","iden_exp","hana","deta","1","U","7","U","9","hanaU","hanaU","hanaU07-detaU09","248","33","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","495","1","iden_exp","hana","deta","1","A","9","A","6","hanaA","hanaU","hanaA09-detaA06","250","33","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","607","0","iden_exp","hana","deta","1","A","6","A","5","hanaA","hanaU","hanaA06-detaA05","252","34","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","521","1","iden_exp","hana","deta","1","A","3","A","11","hanaA","hanaU","hanaA03-detaA11","254","34","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","519","1","iden_exp","hana","deta","1","A","7","U","5","hanaA","hanaA","hanaA07-detaU05","256","34","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","665","1","iden_exp","hana","deta","1","A","5","U","3","hanaA","hanaA","hanaA05-detaU03","258","36","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","575","1","iden_exp","hana","deta","1","A","9","A","3","hanaA","hanaU","hanaA09-detaA03","260","36","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","535","1","iden_exp","hana","deta","1","A","1","U","6","hanaA","hanaA","hanaA01-detaU06","262","36","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","451","0","iden_exp","hana","deta","1","U","3","U","9","hanaU","hanaU","hanaU03-detaU09","264","37","paper took","hanaU"
